GeneSymbol,Daily1,Daily2,Daily3,Daily4,Daily5,Weekly1,Weekly2,Weekly3,Weekly4,Weekly5,Vehicle1,Vehicle2,Vehicle3,Vehicle4,Vehicle5
Atrip,11.35619252,13.85676399,7.280003333,11.71976452,12.1932987,10.0114384,13.02866523,16.5087514,13.30567671,14.18865467,11.80766027,10.41829574,10.53236165,9.733719718,13.22471734
Shisa5,20.91201305,23.63800916,13.32085716,22.60240301,22.30819422,20.69030603,22.61921048,31.00424043,60.77457738,30.6990892,17.8940831,21.421889,21.75161646,19.90988124,22.83241796
Pfkfb4,74.64619228,63.03469109,37.32937879,64.87726791,60.8279333,39.24483854,50.3051241,61.00184968,98.17431731,55.85170431,37.37063613,34.64961281,34.00121099,37.496943,28.71007011
Col7a1,87.38728633,98.62755545,53.43832234,88.10751545,90.06413814,60.3356021,44.15269885,45.80171882,150.6777984,39.08329424,59.16002983,52.32559773,54.03559457,61.72063185,51.09036099
Uqcrc1,283.6278326,304.9846584,174.1005052,272.2752437,226.5459475,468.0013738,319.2927751,394.5994237,491.9504252,393.9286489,263.2986513,257.8820846,256.8980386,256.7268576,279.4145406
Arhgef9,19.52711152,15.35112089,10.37787709,14.02186113,15.65730401,18.15407497,15.74297049,14.39482592,10.42877363,18.96120216,16.92025544,16.8565684,16.82888221,17.91889312,18.76327417
Cnksr2,2.492822748,2.852863174,1.084255816,2.092815094,1.524162338,4.805490433,2.080967364,2.516577957,1.438451536,2.579755395,3.043211411,2.809428066,4.121358908,2.875871735,2.373667214
Tmem47,6.924507633,7.743485759,4.027235887,6.906289809,4.572487013,5.072462124,8.685776823,6.945755162,3.955741723,8.255217265,5.964694365,8.428284198,6.868931514,5.972964372,7.00796987
Alox5,3.739234122,3.667966938,1.858724255,3.34850415,4.433926801,2.00228768,2.261921048,2.717904194,8.27109633,2.708743165,3.40839678,3.511785082,2.862054797,3.981976248,3.730048479
8-Mar,39.74667381,40.7551882,22.92426582,39.55420527,34.64005313,41.38061206,44.42412938,42.17784656,48.54773933,45.53268273,39.31829143,35.58608884,39.4963562,39.15609977,35.37894467
Wdr73,4.15470458,5.162323839,4.027235887,5.859882262,4.849607438,6.006863041,3.076212625,5.234482151,11.1479994,6.707364028,5.234323627,4.565320607,3.434465757,3.539534443,4.634302656
